Filename,Serial Number,Check Number,Nomor Container,Grade
IMG_20260808_095839.jpg,468605,4,SPNU4686054,Grade : A
IMG_20260808_095839_087.jpg,946860,5,SPNU9468605,Grade : A
IMG_20260808_095845.jpg,468605,4,SPNU4686054,Grade : A
IMG_20260808_095845_993.jpg,468875,6,SPNU4688756,Grade : A
IMG_20260808_095849_728.jpg,469064,5,SPNU4690645,Grade : A
IMG_20260808_095932.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_095934_008.jpg,906861,0,SPNU9068610,Grade : A
IMG_20260808_095936.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_0959361.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_095940_464.jpg,904681,0,SPNU9046810,Grade : A
IMG_20260808_095951.jpg,684895,6,SPNU6848956,Grade : A
IMG_20260808_095953.jpg,684895,6,SPNU6848956,Grade : A
IMG_20260808_095955_536.jpg,561967,8,SPNU5619678,Grade : A
IMG_20260808_095959.jpg,468489,6,SPNU4684896,Grade : A
IMG_20260808_095959_189.jpg,468511,9,SPNU4685119,Grade : A
IMG_20260808_100031.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100032_752.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100034.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100037_336.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100050.jpg,977237,0,SPNU9772370,Grade : A
IMG_20260808_100052_764.jpg,037237,0,SPNU0372370,Grade : B
IMG_20260808_100053.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100056_777.jpg,901603,9,SPNU9016039,Grade : A
IMG_20260808_100112_756.jpg,046799,4,SPNU0467994,Grade : B
IMG_20260808_100114.jpg,146799,0,SPNU1467990,Grade : B
IMG_20260808_100117.jpg,468530,9,SPNU4685309,Grade : A
IMG_20260808_1001171.jpg,904699,6,SPNU9046996,Grade : A
IMG_20260808_1001178.jpg,468530,9,SPNU4685309,Grade : A
IMG_20260808_100119_691.jpg,904685,3,SPNU9046853,Grade : A
IMG_20260808_100122_512.jpg,046876,0,SPNU0468760,Grade : B
IMG_20260808_100140.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100143_636.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100145_752.jpg,818469,2,SPNU8184692,Grade : A
IMG_20260808_100146.jpg,078469,0,SPNU0784690,Grade : B
IMG_20260808_100147_729.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100203_824.jpg,275422,6,SPNU2754226,Grade : B
IMG_20260808_100205_782.jpg,233302,8,SPNU2333028,Grade : B
IMG_20260808_100258_965.jpg,046819,0,SPNU0468190,Grade : B
IMG_20260808_100301_586.jpg,468845,8,SPNU4688458,Grade : A
IMG_20260808_100328_267.jpg,660040,0,SPNU6600400,Grade : A
IMG_20260808_100347_982.jpg,468645,5,SPNU4686455,Grade : A
IMG_20260808_100351_208.jpg,468834,0,SPNU4688340,Grade : A
IMG_20260808_100355_303.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100428_285.jpg,046863,0,SPNU0468630,Grade : B
IMG_20260808_100430_427.jpg,468661,0,SPNU4686610,Grade : A
IMG_20260808_100434_672.jpg,590468,0,SPNU5904680,Grade : A
