Filename,Serial Number,Check Number,Nomor Container,Grade
Image1.jpg,026906,9,SPNU0269069,Grade : B
Image10.jpg,083110,9,SPNU0831109,Grade : B
Image100.jpg,520455,8,SPNU5204558,Grade : A
Image101.jpeg,Not Found,Not Found,Not Found,Not Found
Image102.jpg,268506,4,SPNU2685064,Grade : B
Image103.jpg,028184,7,SPNU0281847,Grade : B
Image104.jpg,287855,7,SPNU2878557,Grade : B
Image105.jpg,052243,9,SPNU0522439,Grade : B
Image106.jpg,382086,5,SPNU3820865,Grade : A
Image107.jpg,534887,1,SPNU5348871,Grade : A
Image108.jpg,268077,7,SPNU2680777,Grade : B
Image109.jpg,027417,1,SPNU0274171,Grade : B
Image11.jpg,528361,1,SPNU5283611,Grade : A
Image110.jpg,Not Found,Not Found,Not Found,Not Found
Image111.jpg,086709,6,SPNU0867096,Grade : B
Image112.jpg,085355,3,SPNU0853553,Grade : B
Image113.jpg,428330,6,SPNU4283306,Grade : A
Image114.jpg,329750,5,SPNU3297505,Grade : A
Image115.jpg,028730,7,SPNU0287307,Grade : B
Image116.jpg,026866,0,SPNU0268660,Grade : B
Image117.jpg,053436,1,SPNU0534361,Grade : B
Image118.jpg,257469,2,SPNU2574692,Grade : B
Image119.jpg,Not Found,Not Found,Not Found,Not Found
Image12.jpg,283230,8,SPNU2832308,Grade : B
Image120.jpg,020963,5,SPNU0209635,Grade : B
Image121.jpg,286848,1,SPNU2868481,Grade : B
Image122.jpg,031990,3,SPNU0319903,Grade : B
Image123.jpg,837283,1,SPNU8372831,Grade : A
Image124.jpg,284433,5,SPNU2844335,Grade : B
Image125.jpg,038424,2,SPNU0384242,Grade : B
Image126.jpg,265002,6,SPNU2650026,Grade : B
Image127.jpg,Not Found,Not Found,Not Found,Not Found
Image128.jpg,285087,8,SPNU2850878,Grade : B
Image129.jpeg,295141,5,SPNU2951415,Grade : B
Image13.jpg,529885,1,SPNU5298851,Grade : A
Image130.jpg,Not Found,Not Found,Not Found,Not Found
Image131.jpg,082183,4,SPNU0821834,Grade : B
Image132.jpg,578939,3,SPNU5789393,Grade : A
Image133.jpeg,268597,4,SPNU2685974,Grade : B
Image134.jpeg,038628,7,SPNU0386287,Grade : B
Image135.jpg,073379,5,SPNU0733795,Grade : B
Image136.jpg,028354,4,SPNU0283544,Grade : B
Image137.jpg,318220,9,SPNU3182209,Grade : A
Image138.jpg,052323,0,SPNU0523230,Grade : B
Image139.jpg,Not Found,Not Found,Not Found,Not Found
Image14.jpg,Not Found,Not Found,Not Found,Not Found
Image140.jpg,800099,7,SPNU8000997,Grade : A
Image141.jpg,032289,3,SPNU0322893,Grade : B
Image142.jpg,028080,7,SPNU0280807,Grade : B
Image143.jpg,294871,0,SPNU2948710,Grade : B
Image144.jpg,198269,5,SPNU1982695,Grade : B
Image145.jpg,289809,6,SPNU2898096,Grade : B
Image146.jpg,053549,3,SPNU0535493,Grade : B
Image147.jpg,524030,4,SPNU5240304,Grade : A
Image148.jpeg,Not Found,Not Found,Not Found,Not Found
Image149.jpeg,028130,5,SPNU0281305,Grade : B
Image15.jpg,286740,7,SPNU2867407,Grade : B
Image150.jpg,Not Found,Not Found,Not Found,Not Found
Image151.jpeg,Not Found,Not Found,Not Found,Not Found
Image152.jpg,547212,7,SPNU5472127,Grade : A
Image153.jpg,Not Found,Not Found,Not Found,Not Found
Image154.jpg,Not Found,Not Found,Not Found,Not Found
Image155.jpg,028219,0,SPNU0282190,Grade : B
Image156.jpg,Not Found,Not Found,Not Found,Not Found
Image157.jpg,Not Found,Not Found,Not Found,Not Found
Image158.jpg,Not Found,Not Found,Not Found,Not Found
Image159.jpg,530264,4,SPNU5302644,Grade : A
Image16.jpg,053884,5,SPNU0538845,Grade : B
Image160.jpeg,273136,5,SPNU2731365,Grade : B
Image161.jpg,029367,9,SPNU0293679,Grade : B
Image162.jpg,Not Found,Not Found,Not Found,Not Found
Image163.jpeg,Not Found,Not Found,Not Found,Not Found
Image164.jpg,Not Found,Not Found,Not Found,Not Found
Image165.jpg,282600,1,SPNU2826001,Grade : B
Image166.jpg,297620,2,SPNU2976202,Grade : B
Image167.jpg,Not Found,Not Found,Not Found,Not Found
Image168.jpg,Not Found,Not Found,Not Found,Not Found
Image169.jpg,Not Found,Not Found,Not Found,Not Found
Image17.jpg,031002,2,SPNU0310022,Grade : B
Image170.jpg,529510,4,SPNU5295104,Grade : A
Image171.jpeg,Not Found,Not Found,Not Found,Not Found
